Stocks_name,PE,PB,ROE,ROA
AAA,20.3,1.2,5.9,3.0
AAM,581.6,0.7,0.1,0.1
AAT,30.6,1.3,5.8,4.0
ABS,12.2,1.4,17.6,10.2
ABT,13.1,1.1,8.1,6.1
ACB,9.5,2.0,23.9,2.0
ACC,63.7,1.9,7.6,3.6
ACL,23.4,1.4,6.0,2.7
ADS,14.8,2.3,17.9,4.6
AGG,12.3,2.2,17.3,3.9
AGM,21.3,2.0,9.7,3.9
AGR,11.3,1.8,17.8,16.2
AMD,81.6,0.5,0.6,0.5
ANV,36.2,2.0,5.4,2.6
APC,N/A,0.8,-0.2,-0.2
APG,10.3,2.7,43.6,39.5
APH,114.3,2.2,1.1,0.5
ASG,37.3,2.1,4.6,3.0
ASM,9.9,1.2,8.4,3.3
ASP,18.0,1.2,6.4,1.7
AST,N/A,7.4,-24.4,-20.7
BAF
BBC,55.6,1.2,2.0,1.4
BCE,20.5,1.4,6.8,2.9
BCG,17.6,3.0,10.9,1.9
BCM,64.2,5.2,7.6,2.7
BFC,9.1,1.8,17.5,6.6
BHN,43.7,3.9,6.1,4.4
BIC,9.1,1.4,15.7,6.4
BID,20.9,2.7,12.6,0.6
BKG,15.4,0.9,5.7,4.9
BMC,19.4,1.7,8.5,7.0
BMI,17.1,1.8,10.9,3.7
BMP,24.5,2.4,9.1,7.4
BRC,9.8,1.0,10.3,7.1
BSI,14.7,3.0,22.2,7.8
BTP,8.6,0.9,10.3,7.0
BTT,147.7,2.0,1.3,1.0
BVH,24.5,2.1,N/A,N/A
BWE,12.6,2.6,20.1,8.5
C32,6.6,0.9,12.7,7.4
C47,10.6,1.4,13.6,2.9
CAV,10.0,1.9,19.5,5.2
CCI,17.5,2.3,12.1,4.8
CCL,9.2,1.2,13.1,6.5
CDC,12.0,1.2,10.8,3.0
CEE,214.7,1.6,0.7,0.2
CHP,13.6,1.7,12.8,7.1
CIG,20.5,8.8,12.4,2.9
CII,N/A,1.7,-4.3,-1.1
CKG,14.7,2.4,17.7,3.3
CLC,7.3,1.3,18.2,13.8
CLL,13.0,1.7,13.2,12.1
CLW,14.7,1.8,12.2,6.0
CMG,24.4,2.8,10.1,4.6
CMV,9.5,1.1,11.9,4.9
CMX,26.7,1.6,8.2,3.6
CNG,11.7,1.8,16.2,7.8
COM,15.8,1.3,8.8,7.6
CRC,23.6,0.9,6.1,2.4
CRE,16.6,2.2,18.6,8.9
CSM,44.9,1.4,3.2,1.0
CSV,11.3,2.1,19.6,15.7
CTD,295.5,0.9,0.3,0.2
CTF,33.6,2.0,6.6,2.7
CTG,11.3,1.7,15.3,1.0
CTI,421.3,1.0,0.2,0.1
CTR,21.7,6.2,32.1,9.9
CTS,11.2,2.4,24.3,7.3
CVT,17.4,2.1,12.7,5.7
D2D,7.9,1.7,23.7,12.6
DAG,151.1,1.1,N/A,N/A
DAH,30.3,1.4,9.0,5.1
DAT,37.9,1.9,5.2,2.2
DBC,10.7,1.9,18.1,7.9
DBD,16.4,2.7,17.4,12.3
DBT,12.3,1.1,8.5,2.2
DC4,31.1,2.2,10.0,5.8
DCL,27.5,2.4,8.7,4.8
DCM,10.2,2.6,28.4,20.4
DGC,11.7,4.6,48.8,35.8
DGW,16.5,6.1,46.6,16.3
DHA,9.3,2.0,20.5,18.6
DHC,11.7,3.3,31.5,19.7
DHG,18.9,3.9,21.4,17.0
DHM,5.5,1.1,22.6,12.7
DIG,45.0,5.8,17.6,7.2
DLG,135.3,1.0,0.6,0.2
DMC,12.6,1.5,12.0,10.4
DPG,11.4,3.0,22.5,6.9
DPM,7.2,2.2,34.7,25.7
DPR,7.9,1.6,18.0,11.9
DQC,56.7,1.4,2.5,1.7
DRC,13.2,2.2,16.8,10.6
DRH,112.5,1.8,1.6,0.5
DRL,11.1,5.1,44.0,41.1
DSN,24.8,3.4,13.8,12.1
DTA,35.3,1.9,5.5,1.7
DTL,53.1,2.6,5.0,2.3
DTT,26.1,0.8,3.2,2.4
DVP,8.7,1.8,21.5,19.4
DXS,26.6,2.5,7.7,4.0
DXV,N/A,0.7,N/A,N/A
EIB,43.1,2.3,5.6,0.6
ELC,24.8,1.4,5.6,3.6
EMC,N/A,N/A,N/A,N/A
EVE,12.6,0.8,6.3,4.5
EVF,16.4,1.4,8.6,1.1
FCM,34.6,0.9,2.3,1.5
FCN,36.1,1.4,4.1,1.5
FIR,22.7,3.2,15.5,10.0
FIT,23.9,1.1,3.7,2.9
FLC,105.1,1.0,0.8,0.3
FMC,15.0,2.2,18.3,12.0
FPT,19.5,4.7,21.6,9.2
FRT,21.8,5.8,32.7,5.6
FTM,N/A,2.9,-104.6,-14.9
GAB,1463.1,17.8,1.2,0.8
GAS,26.0,4.4,17.3,12.1
GDT,17.2,3.9,21.5,15.1
GEG,28.8,2.4,8.1,2.8
GEX,33.5,2.9,7.3,2.4
GIL,11.0,2.3,23.1,10.7
GMC,19.5,1.3,6.7,4.2
GMD,24.8,2.4,8.9,6.0
GMH,12.1,1.7,15.5,14.5
GSP,14.8,1.3,11.0,5.6
GTA,10.9,1.0,9.6,3.1
GTN,54.8,1.8,2.1,1.8
GVR,32.1,2.9,8.1,5.4
HAG,51.6,2.1,3.1,0.8
HAH,9.0,2.6,29.2,17.4
HAI,162.3,0.5,0.3,0.2
HAP,35.5,1.1,5.6,5.0
HAR,27.7,0.9,3.3,2.7
HAS,32.3,0.7,2.1,1.3
HAX,11.3,2.6,26.6,12.6
HBC,67.7,1.8,2.4,0.6
HCD,9.2,1.2,13.6,9.6
HCM,15.0,2.3,21.7,6.7
HDB,9.6,2.0,21.8,1.8
HDC,24.6,5.2,24.0,8.9
HDG,13.2,3.3,23.9,7.4
HHP,10.7,1.0,12.4,6.2
HHS,15.5,0.9,5.9,5.6
HHV,22.7,1.0,3.6,0.8
HID,8.0,0.9,9.7,4.7
HII,7.8,1.1,13.2,4.5
HMC,3.9,1.2,32.1,13.4
HNG,174.8,1.5,N/A,N/A
HOT,N/A,5.3,-30.3,-25.1
HPG,6.1,2.3,46.0,22.0
HPX,32.8,2.8,7.9,3.3
HQC,821.9,0.8,0.1,0.1
HRC,75.0,3.0,4.1,2.2
HSG,4.3,1.7,46.4,19.2
HSL,11.4,0.7,6.1,5.3
HT1,23.5,1.7,6.8,4.0
